"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789104089458208825","Sat May 11 06:29:49 +0000 2024","14","@ClarissaIcha Jika ada informasi pembayaran atau bukti pembayaran silahkan informasikan ke kami agar kami bisa memastikan asal tagihan tersebut","1789181095810093078","","bravobeacukai","in","DKI Jakarta, Indonesia","1","0","1","https://x.com/bravobeacukai/status/1789181095810093078","2814445920","bravobeacukai"
"1789274627245744277","Sun May 12 01:45:16 +0000 2024","72","@rahmaut @ashifriady udah dijelasin pun masih ga nangkep iya maksudnya bea cukai . like???? tell me your iq is 78 without telling me your iq is 78","1789471876185788500","","rahmaut","in","","0","8","0","https://x.com/cocoronaman/status/1789471876185788500","1751902404185030656","cocoronaman"
"1789207753644532057","Sat May 11 10:04:01 +0000 2024","6","@_riverheaven Baru kena batunya ini bea cukai barang yg tertahan di bea cukai digelapkan bisa jadi ini sdh modus lama bagi pejabat bea cukai untuk memperkaya diri.","1789235001869115883","","_riverheaven","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/streetlawyers85/status/1789235001869115883","1423349409840975873","streetlawyers85"
"1789432005588873580","Sun May 12 07:44:16 +0000 2024","6","@madHink @ryukasma Lah bea cukai nuduh org underpriceing dikasih bukti valid tetep gk percaya n kasih denda puluhan juta?? Ampe harus viral dulu","1789562219841437977","","madHink","in","","0","2","4","https://x.com/Alfinfadhil26/status/1789562219841437977","1440670454","Alfinfadhil26"
"1789276240647729278","Sat May 11 12:52:15 +0000 2024","2","@PartaiSocmed @ClarissaIcha Kalo bea cukai gratis knp swasta nya minta? Apakah setoran?","1789277337844150526","","PartaiSocmed","in","","4","69","2","https://x.com/JAmsterdam7/status/1789277337844150526","1143768019224498176","JAmsterdam7"
"1789218492803416293","Sat May 11 10:47:43 +0000 2024","12","@beacukaiRI Ngeri bener banyak yg riding the wave menjatuhkan marwah bea cukai. Gaboleh diam aja ini atas hoax yg beredar","1789245999380361320","","beacukaiRI","in","","0","8","0","https://x.com/NateRiver7910/status/1789245999380361320","1719029997846032384","NateRiver7910"
"1789466330997104918","Sun May 12 05:31:31 +0000 2024","5","@RomeoWalker19 @beacukaiRI @ClarissaIcha Bea cukai yg dulu sama skrg gk sama","1789528813636112840","","RomeoWalker19","in","","0","2","0","https://x.com/BerthaAstu32435/status/1789528813636112840","1713441964459425792","BerthaAstu32435"
"1789104089458208825","Sat May 11 15:33:41 +0000 2024","2","@sufisijawara @ClarissaIcha Dan itu pun pihak swasta bkn Bea Cukai","1789317966896713870","","maldakristina","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/maldakristina/status/1789317966896713870","1636224507328249857","maldakristina"
"394059147659849729","Sat Oct 26 11:13:16 +0000 2013","0","Gw: Itu si Niven istrinya namanya lucu Bea . Dari Beatrice kali ya? | @meiraa_: Ya sapa tau Bea Cukai | ...","394059147659849729","","","in","Jakarta","0","2","7","https://x.com/ernestprakasa/status/394059147659849729","16882261","ernestprakasa"
"1789104089458208825","Sat May 11 13:34:24 +0000 2024","6","@ClarissaIcha @alineakata Luar biasa ini bea cukai difitnah sana sini tetep sabar dan gak berhenti mengedukasi masyarakat. Mana yg lempar fitnah ini skrng berondok lempar batu sembunyi tangan wkwkwk","1789287948447531223","","ClarissaIcha","in","","0","0","0","https://x.com/allezjustice/status/1789287948447531223","1638801176983666689","allezjustice"
"1789207753644532057","Sat May 11 10:28:41 +0000 2024","3","@_riverheaven Rame banget ttg bea cukai mrk itu emang ga bisa diaudit ya biar tahu benar ga kerjanya.","1789241208994451753","","_riverheaven","in","","0","0","0","https://x.com/Ristha1368/status/1789241208994451753","1475844703463477248","Ristha1368"
"1789281129260056759","Sat May 11 19:47:31 +0000 2024","7","@rizkidwika Kenapa harus bea cukai? Padahalkan bisa aja ketahan di DC Cakung...","1789381844892262654","","rizkidwika","in","Pluto","0","0","0","https://x.com/cavtenunu/status/1789381844892262654","614949743","cavtenunu"
"1789483374157148659","Sun May 12 02:33:38 +0000 2024","3","@prastow @pramayudhaamdan Semua PNS di bandara adalah BEA CUKAI wkwkwkwk","1789484045606473758","","prastow","in","","0","0","0","https://x.com/bernekelbhoi/status/1789484045606473758","1463891517706100737","bernekelbhoi"
"1789431701187240439","Sat May 11 23:05:56 +0000 2024","2","Kepala Kantor Pengawasan Pelayanan Bea Cukai Tipe Madya Pabean (KPPBC TMP) C Langsa Sulaiman di Banda Aceh Kamis mengatakan selain menyita rokok ilegal tim gabungan juga menangkap dua terduga pelaku.","1789431775715848638","","Hansunriko","in","Jawa Timur, Indonesia","0","0","2","https://x.com/Hansunriko/status/1789431775715848638","1349266626844061696","Hansunriko"
"1789459254723973277","Sun May 12 02:28:58 +0000 2024","8","@natasha_k83732 @prastow @ClarissaIcha Masih nunggu jawaban pertanyaan masyarakat tentang dirjen bea cukai allegedly punya kekayaan 51M.","1789482871339839628","","natasha_k83732","in","","0","1","0","https://x.com/cokrostt85750/status/1789482871339839628","1645437705357254661","cokrostt85750"
"1789535439281664101","Sun May 12 06:17:41 +0000 2024","6","@ClarissaIcha Kemarin dibayar berapa dan dengan agency mana mba buat bikin hoax jatuhin nama bea cukai?","1789540432336306256","","ClarissaIcha","in","","0","2","0","https://x.com/pintaria2023/status/1789540432336306256","1649983887349776384","pintaria2023"
"1789522312771035506","Sun May 12 05:05:41 +0000 2024","0","Betapa enaknya jadi petugas Bea Cukai hidup selalu bergelimang harta. Yg jadi pertanyaan uang dari mana semua itu ? Karena di negeri ini banyak cerita negatif tentang petugas Bea cukai.","1789522312771035506","","","in","Bumiayu, Indonesia","0","1","0","https://x.com/sukardiyahya162/status/1789522312771035506","1539724674749579265","sukardiyahya162"
"1789167683566747973","Sat May 11 05:36:31 +0000 2024","3","Aurora nggak muncul di Indonesia karena takut urusan sama bea cukai","1789167683566747973","","","in","Central Region, Singapore","0","1","1","https://x.com/kulturpoop_/status/1789167683566747973","1443624643420557312","kulturpoop_"
"1789300101040714120","Sat May 11 14:22:42 +0000 2024","0","Viral Lagi Bea Cukai Dituduh Minta Bayaran Pajak Pengiriman Jenazah dan Peti Mati dari LN Sebesar 30% https://t.co/EUsYEkL0cY","1789300101040714120","","","in","Indonesia","0","0","0","https://x.com/BeritakanID_com/status/1789300101040714120","1512483442600341505","BeritakanID_com"
"1789236505543864557","Sat May 11 10:09:59 +0000 2024","0","Masih anget aja nih yak bea cukai Oke kalo gitu gua mau share pengalaman pribadi gua juga berurusan sama bea cukai","1789236505543864557","","","in","your eyes ...","0","0","0","https://x.com/dwiGitara/status/1789236505543864557","67043194","dwiGitara"
"1789298510791405982","Sat May 11 14:16:23 +0000 2024","0","Viral Bea Cukai Soetta Dilaporkan Pengusaha Malaysia karena Tahan 9 Unit Mobil Mewah https://t.co/6tbJOFbDei","1789298510791405982","","","in","Indonesia","0","0","0","https://x.com/BeritakanID_com/status/1789298510791405982","1512483442600341505","BeritakanID_com"
"1789402453940511105","Sat May 11 21:09:25 +0000 2024","2","Kalau udah dijawab sama stafsus bela instansi tolong tag aku guys kali aja kalau sering bolak-balik luar negeri bisa upgrade subscription imigrasi &amp; bea cukai ","1789402453940511105","","","in","","0","1","0","https://x.com/fleureese/status/1789402453940511105","60236677","fleureese"
